User_ID,Age_Group,Region,Subscription_Type,Goal_Type,Preferred_Workout_Type,App_Join_Date
U1111,35-44,Latin America,Premium,Weight Loss,Strength,2025-04-22
U1112,55+,Latin America,Free,Muscle Gain,HIIT,2025-04-23
U1113,35-44,Latin America,Premium,Flexibility,Strength,2025-04-24
U1114,18-24,Latin America,Free,Endurance,Cardio,2025-04-25
U1115,55+,Asia-Pacific,Premium,Weight Loss,HIIT,2025-04-26
U1116,25-34,Asia-Pacific,Free,Endurance,Yoga,2025-04-27
U1117,35-44,North America,Free,Weight Loss,Strength,2025-04-28
U1118,18-24,Latin America,Free,Muscle Gain,Cardio,2025-04-29
U1119,25-34,North America,Premium,Endurance,Running,2025-04-30
U1120,25-34,Latin America,Free,Weight Loss,HIIT,2025-05-01
U1121,45-54,Latin America,Premium,Muscle Gain,Strength,2025-05-02
U1122,55+,Asia-Pacific,Free,Endurance,Strength,2025-05-03
U1123,35-44,Asia-Pacific,Free,Endurance,Yoga,2025-05-04
U1124,18-24,Europe,Premium,Weight Loss,Yoga,2025-05-05
U1125,45-54,Asia-Pacific,Free,Weight Loss,Running,2025-05-06
U1126,55+,Europe,Free,Weight Loss,Running,2025-05-07
U1127,45-54,Europe,Free,Muscle Gain,Cardio,2025-05-08
U1128,55+,Europe,Free,Weight Loss,Cardio,2025-05-09
U1129,55+,Europe,Premium,Endurance,Running,2025-05-10
U1130,35-44,Europe,Free,Endurance,Running,2025-05-11
U1131,55+,North America,Free,Weight Loss,HIIT,2025-05-12
U1132,45-54,Asia-Pacific,Free,Weight Loss,Yoga,2025-05-13
U1133,55+,Europe,Premium,Flexibility,Cardio,2025-05-14
U1134,35-44,Latin America,Free,Endurance,Yoga,2025-05-15
U1135,35-44,Asia-Pacific,Free,Muscle Gain,Yoga,2025-05-16
U1136,45-54,Asia-Pacific,Premium,Flexibility,Running,2025-05-17
U1137,25-34,Europe,Premium,Weight Loss,HIIT,2025-05-18
U1138,25-34,North America,Free,Weight Loss,Strength,2025-05-19
U1139,55+,Europe,Free,Endurance,HIIT,2025-05-20
U1140,18-24,North America,Free,Weight Loss,HIIT,2025-05-21
U1141,55+,Latin America,Free,Muscle Gain,Yoga,2025-05-22
U1142,45-54,Asia-Pacific,Free,Endurance,HIIT,2025-05-23
U1143,45-54,Latin America,Free,Weight Loss,Cardio,2025-05-24
U1144,45-54,North America,Free,Endurance,Yoga,2025-05-25
U1145,45-54,North America,Free,Weight Loss,Cardio,2025-05-26
U1146,45-54,Latin America,Premium,Weight Loss,Strength,2025-05-27
U1147,35-44,North America,Premium,Weight Loss,Yoga,2025-05-28
U1148,25-34,Latin America,Free,Muscle Gain,Strength,2025-05-29
U1149,45-54,Asia-Pacific,Premium,Muscle Gain,Yoga,2025-05-30
U1150,18-24,Latin America,Premium,Endurance,Running,2025-05-31
U1151,18-24,Asia-Pacific,Free,Weight Loss,HIIT,2025-06-01
U1152,18-24,Latin America,Free,Weight Loss,Running,2025-06-02
U1153,18-24,North America,Free,Muscle Gain,Strength,2025-06-03
U1154,35-44,Latin America,Free,Weight Loss,HIIT,2025-06-04
U1155,18-24,North America,Premium,Muscle Gain,Yoga,2025-06-05
U1156,45-54,Latin America,Free,Weight Loss,HIIT,2025-06-06
U1157,55+,Latin America,Free,Endurance,Cardio,2025-06-07
U1158,18-24,Europe,Premium,Weight Loss,HIIT,2025-06-08
U1159,35-44,North America,Premium,Weight Loss,Cardio,2025-06-09
U1160,35-44,Europe,Free,Flexibility,HIIT,2025-06-10
U1161,18-24,North America,Premium,Muscle Gain,Cardio,2025-06-11
U1162,55+,Europe,Premium,Weight Loss,Strength,2025-06-12
U1163,18-24,Asia-Pacific,Premium,Weight Loss,Running,2025-06-13
U1164,35-44,Latin America,Free,Flexibility,Yoga,2025-06-14
U1165,25-34,North America,Premium,Flexibility,HIIT,2025-06-15
U1166,45-54,North America,Free,Muscle Gain,Running,2025-06-16
U1167,35-44,Latin America,Premium,Flexibility,Yoga,2025-06-17
U1168,18-24,North America,Premium,Endurance,Yoga,2025-06-18
U1169,45-54,North America,Premium,Flexibility,Cardio,2025-06-19
U1170,18-24,Europe,Premium,Endurance,Strength,2025-06-20
U1171,18-24,North America,Premium,Muscle Gain,Strength,2025-06-21
U1172,25-34,Asia-Pacific,Premium,Muscle Gain,Running,2025-06-22
U1173,45-54,Asia-Pacific,Free,Muscle Gain,Strength,2025-06-23
U1174,45-54,Latin America,Free,Muscle Gain,HIIT,2025-06-24
U1175,25-34,North America,Free,Muscle Gain,Strength,2025-06-25
U1176,35-44,Latin America,Premium,Endurance,Running,2025-06-26
U1177,18-24,Asia-Pacific,Free,Endurance,Strength,2025-06-27
U1178,55+,North America,Free,Muscle Gain,HIIT,2025-06-28
U1179,18-24,North America,Free,Flexibility,Cardio,2025-06-29
U1180,18-24,Latin America,Free,Weight Loss,Running,2025-06-30
U1181,35-44,Asia-Pacific,Premium,Muscle Gain,Cardio,2025-07-01
U1182,18-24,North America,Premium,Flexibility,Cardio,2025-07-02
U1183,25-34,Latin America,Free,Weight Loss,Cardio,2025-07-03
U1184,25-34,Asia-Pacific,Premium,Muscle Gain,Yoga,2025-07-04
U1185,45-54,Latin America,Free,Muscle Gain,Yoga,2025-07-05
U1186,55+,Europe,Free,Endurance,Cardio,2025-07-06
U1187,18-24,North America,Premium,Weight Loss,Running,2025-07-07
U1188,18-24,Europe,Free,Weight Loss,HIIT,2025-07-08
U1189,35-44,Asia-Pacific,Free,Flexibility,HIIT,2025-07-09
U1190,25-34,Europe,Premium,Endurance,Strength,2025-07-10
U1191,55+,Europe,Free,Endurance,Running,2025-07-11
U1192,45-54,Asia-Pacific,Free,Endurance,Yoga,2025-07-12
U1193,25-34,Latin America,Free,Endurance,Cardio,2025-07-13
U1194,45-54,Europe,Free,Weight Loss,Strength,2025-07-14
U1195,35-44,Latin America,Free,Weight Loss,HIIT,2025-07-15
U1196,35-44,Europe,Free,Muscle Gain,Yoga,2025-07-16
U1197,18-24,Latin America,Premium,Muscle Gain,Yoga,2025-07-17
U1198,55+,Asia-Pacific,Premium,Endurance,Cardio,2025-07-18
U1199,45-54,Europe,Premium,Endurance,HIIT,2025-07-19
